md;incl;azi
631.7388;8.1309;309.5836
632.2388;8.1169;309.3162
632.7388;8.0716;309.034
633.2388;8.1166;309.9302
633.7388;8.2132;310.396
634.2388;8.2071;310.2107
634.7388;8.0675;310.022
635.2388;8.0699;309.7469
635.7388;8.0667;309.7314
636.2388;8.0718;309.5811
636.7388;8.0664;309.4628
637.2388;8.0667;309.7153
637.7388;8.0678;309.5897
638.2388;8.0691;309.5269
638.7388;8.0695;309.5839
639.2388;8.022;309.248
639.7388;8.0248;309.1463
640.2388;8.0229;308.9879
640.7388;8.0262;309.1797
641.2388;8.0265;308.9594
641.7388;8.0309;308.8931
642.2388;8.053;308.9795
642.7388;8.1344;309.111
643.2388;8.1569;308.6365
643.7388;8.1297;308.919
644.2388;8.0064;308.7178
644.7388;8;308.8787
645.2388;8.0185;308.7876
645.7388;7.9804;308.6427
646.2388;8.0062;308.4698
646.7388;8.0257;308.6781
647.2388;8.0499;308.5021
647.7388;7.9935;308.1924
648.2388;8.0131;308.3762
648.7388;7.9872;308.2275
649.2388;7.994;308.1534
649.7388;8.0145;308.0539
650.2388;8.0268;307.9699
650.7388;8.0024;307.8621
651.2388;8.0181;307.9493
651.7388;8.0295;307.6056
652.2388;8.0111;307.5138
652.7388;8.0327;307.5416
653.2388;8.0224;307.4189
653.7388;8.0322;307.4713
654.2388;8.0151;307.2539
654.7388;8.054;307.356
655.2388;8.0066;307.2484
655.7388;7.9979;306.8543
656.2388;8.0188;307.0442
656.7388;8.0283;307.1538
657.2388;7.9866;306.6896
657.7388;7.9912;306.976
658.2388;8.0419;306.5318
658.7388;7.9843;306.5603
659.2388;8.0075;306.5031
659.7388;8.0417;306.4055
660.2388;8.0229;306.1815
660.7388;8.0851;306.2537
661.2388;8.0613;306.1091
661.7388;8.0944;306.0553
662.2388;8.0445;305.8719
662.7388;8.1;306.0267
663.2388;8.0987;305.7618
663.7388;8.0872;306.0632
664.2388;8.0769;305.7201
664.7388;8.0776;305.7213
665.2388;8.0984;305.7333
665.7388;8.0731;305.6812
666.2388;8.0729;305.6809
666.7388;8.1122;305.6308
667.2388;8.1149;305.6476
667.7388;8.097;305.4756
668.2388;8.0709;305.3036
668.7388;8.0927;305.7194
669.2388;8.1368;305.6075
669.7388;8.1212;305.573
670.2388;8.1247;305.3656
670.7388;8.1163;305.6813
671.2388;8.1324;305.4657
671.7388;8.1158;305.7083
672.2388;8.1413;305.7677
672.7388;8.1429;305.5866
673.2388;8.1168;305.5736
673.7388;8.1117;305.5069
674.2388;8.093;305.5191
674.7388;8.0726;305.4
675.2388;8.0975;305.3574
675.7388;8.0748;305.4919
676.2388;8.0789;305.5212
676.7388;8.088;305.47
677.2388;8.0688;305.4508
677.7388;8.089;305.6464
678.2388;8.0889;305.6464
678.7388;8.0702;305.6279
679.2388;8.0714;305.4074
679.7388;8.0959;305.5913
680.2388;8.0962;305.3964
680.7388;8.0896;305.3857
681.2388;8.0821;305.4397
681.7388;8.1014;305.4645
682.2388;8.1014;305.4743
682.7388;8.0771;305.5165
683.2388;8.1031;305.5655
683.7388;8.1203;305.6639
684.2388;8.0905;305.5942
684.7388;8.1;305.6473
685.2388;8.0811;305.3603
685.7388;8.1024;305.3889
